transaction_id,customer_id,product_name,category,transaction_date,quantity,price,region
1,C1701,Water 1.5L,Beverages,2025-08-13,2,0.9,Lagos
2,C0655,Milk 1L,Dairy,2025-01-23,6,2.2,Port Harcourt
3,C1558,Yogurt 150g,Dairy,2025-06-29,7,1.5,Abuja
4,C0390,Cheese 200g,Dairy,2025-07-31,2,4.5,Lagos
5,C1164,Water 1.5L,Beverages,2024-09-04,5,0.9,Port Harcourt
6,C1495,Chips 170g,Snacks,2025-07-10,2,2.5,Abuja
7,C0209,Biscuit 50g,Snacks,2024-12-15,6,0.8,Abuja
8,C0923,Cola 500ml,Beverages,2024-10-03,1,1.2,Lagos
9,C0902,Cheese 200g,Dairy,2024-09-24,10,4.5,Port Harcourt
10,C0882,Yogurt 150g,Dairy,2025-01-27,5,1.5,Lagos
11,C1871,Water 1.5L,Beverages,2025-04-03,9,0.9,Port Harcourt
12,C1351,Juice 1L,Beverages,2025-03-23,1,3.0,Port Harcourt
13,C0010,Cola 500ml,Beverages,2024-12-24,7,1.2,Ibadan
14,C0387,Biscuit 50g,Snacks,2025-07-25,1,0.8,Port Harcourt
15,C1677,Water 1.5L,Beverages,2024-12-15,7,0.9,Lagos
16,C1434,Water 1.5L,Beverages,2024-10-15,4,0.9,Ibadan
17,C0978,Water 1.5L,Beverages,2024-09-21,6,0.9,Lagos
18,C1898,Milk 1L,Dairy,2024-12-17,2,2.2,Port Harcourt
19,C0832,Juice 1L,Beverages,2024-10-02,9,3.0,Port Harcourt
20,C1150,Chips 250g,Snacks,2025-05-19,10,3.0,Abuja
21,C0162,Chips 250g,Snacks,2024-09-28,2,3.0,Ibadan
22,C1404,Biscuit 50g,Snacks,2024-12-20,3,0.8,Ibadan
23,C1422,Biscuit 50g,Snacks,2025-01-24,10,0.8,Kano
24,C1473,Milk 1L,Dairy,2025-08-03,1,2.2,Lagos
25,C0186,Juice 1L,Beverages,2025-03-07,7,3.0,Lagos
26,C1262,Yogurt 150g,Dairy,2024-12-24,4,1.5,Port Harcourt
27,C1262,Yogurt 150g,Dairy,2025-06-08,4,1.5,Kano
28,C0046,Water 1.5L,Beverages,2024-11-01,6,0.9,Ibadan
29,C1581,Cola 500ml,Beverages,2024-10-16,6,1.2,Lagos
30,C0547,Yogurt 150g,Dairy,2025-01-31,2,1.5,Lagos
31,C0092,Biscuit 50g,Snacks,2024-09-12,6,0.8,Kano
32,C1137,Cheese 200g,Dairy,2024-09-10,3,4.5,Port Harcourt
33,C0257,Cola 500ml,Beverages,2024-09-14,9,1.2,Kano
34,C1929,Cheese 200g,Dairy,2025-01-10,3,4.5,Kano
35,C1574,Juice 1L,Beverages,2024-11-09,4,3.0,Ibadan
36,C1658,Biscuit 50g,Snacks,2025-08-14,7,0.8,Abuja
37,C0107,Milk 1L,Dairy,2025-04-26,3,2.2,Lagos
38,C0786,Water 1.5L,Beverages,2025-05-18,4,0.9,Abuja
39,C0760,Cheese 200g,Dairy,2025-04-14,3,4.5,Abuja
40,C1828,Cola 500ml,Beverages,2024-10-21,9,1.2,Abuja
41,C1311,Chips 170g,Snacks,2025-02-10,3,2.5,Port Harcourt
42,C1263,Cheese 200g,Dairy,2024-10-01,2,4.5,Port Harcourt
43,C0807,Biscuit 50g,Snacks,2025-02-05,7,0.8,Ibadan
44,C1872,Yogurt 150g,Dairy,2025-03-08,3,1.5,Kano
45,C1305,Yogurt 150g,Dairy,2025-06-26,8,1.5,Abuja
46,C1778,Cheese 200g,Dairy,2025-07-07,4,4.5,Kano
